"datum";"Â.1";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"REP";"Sonstige";"institut";"url"
"22.09.2002";"Â";"38,5 %";"38,5 %";"8,6 %";"7,4 %";"4,0 %";"â€“";"3,0 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"20.09.2002";"Â";"37,0 %";"37,5 %";"7,5 %";"9,5 %";"4,5 %";"â€“";"4,0 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"17.09.2002";"Â";"37,3 %";"37,0 %";"7,2 %";"10,1 %";"4,4 %";"â€“";"4,0 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"11.09.2002";"Â";"37,0 %";"37,0 %";"7,3 %";"10,1 %";"4,9 %";"â€“";"3,7 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"08.09.2002";"Â";"38,2 %";"35,2 %";"7,2 %";"11,2 %";"4,9 %";"â€“";"3,3 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"04.09.2002";"Â";"39,1 %";"34,2 %";"7,0 %";"11,6 %";"4,9 %";"â€“";"3,2 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"28.08.2002";"Â";"40,1 %";"32,9 %";"6,5 %";"11,6 %";"5,1 %";"â€“";"3,8 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"25.08.2002";"Â";"39,8 %";"32,8 %";"6,6 %";"11,7 %";"5,0 %";"â€“";"4,1 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"21.08.2002";"Â";"39,7 %";"31,9 %";"6,7 %";"12,8 %";"5,6 %";"â€“";"3,3 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"14.08.2002";"Â";"39,7 %";"33,0 %";"6,2 %";"12,5 %";"5,6 %";"â€“";"3,0 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"02.08.2002";"Â";"38,8 %";"34,2 %";"6,9 %";"12,1 %";"5,6 %";"â€“";"2,4 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"03.07.2002";"Â";"38,3 %";"33,4 %";"6,9 %";"13,1 %";"5,7 %";"1,2 %";"1,4 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"12.06.2002";"Â";"39,0 %";"32,2 %";"7,1 %";"12,4 %";"6,2 %";"â€“";"3,1 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"15.05.2002";"Â";"38,2 %";"33,2 %";"6,4 %";"12,8 %";"6,2 %";"1,8 %";"1,4 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"17.04.2002";"Â";"37,0 %";"34,5 %";"6,5 %";"11,9 %";"6,9 %";"1,6 %";"1,6 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"20.03.2002";"Â";"37,3 %";"34,0 %";"6,6 %";"11,9 %";"6,6 %";"â€“";"3,6 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"20.02.2002";"Â";"36,1 %";"34,1 %";"6,5 %";"13,2 %";"6,6 %";"1,3 %";"2,2 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"30.01.2002";"Â";"35,8 %";"34,9 %";"6,6 %";"11,1 %";"6,7 %";"â€“";"4,9 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"19.12.2001";"Â";"35,1 %";"35,4 %";"6,6 %";"11,5 %";"6,6 %";"2,6 %";"2,2 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"14.11.2001";"Â";"34,5 %";"36,7 %";"7,4 %";"10,6 %";"6,4 %";"1,5 %";"2,9 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"17.10.2001";"Â";"35,7 %";"36,8 %";"7,4 %";"10,9 %";"5,7 %";"1,5 %";"2,0 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"19.09.2001";"Â";"35,7 %";"35,9 %";"8,0 %";"10,9 %";"6,0 %";"1,7 %";"1,8 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"14.08.2001";"Â";"34,0 %";"36,1 %";"7,8 %";"11,0 %";"6,4 %";"0,8 %";"3,9 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"25.07.2001";"Â";"33,0 %";"37,2 %";"7,7 %";"10,8 %";"6,7 %";"2,2 %";"2,4 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"20.06.2001";"Â";"33,4 %";"37,1 %";"7,9 %";"11,1 %";"6,0 %";"1,6 %";"2,9 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"16.05.2001";"Â";"33,6 %";"38,1 %";"7,9 %";"10,2 %";"5,7 %";"2,0 %";"2,5 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"18.04.2001";"Â";"32,9 %";"39,2 %";"7,7 %";"10,2 %";"5,7 %";"1,8 %";"2,5 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"14.03.2001";"Â";"32,4 %";"39,3 %";"7,5 %";"10,0 %";"6,2 %";"2,3 %";"2,3 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"14.02.2001";"Â";"32,8 %";"38,7 %";"8,0 %";"9,6 %";"6,1 %";"2,3 %";"2,5 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"24.01.2001";"Â";"33,1 %";"39,1 %";"7,3 %";"9,7 %";"6,3 %";"1,1 %";"3,4 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"20.12.2000";"Â";"35,2 %";"38,1 %";"7,4 %";"9,6 %";"6,0 %";"1,1 %";"2,6 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"15.11.2000";"Â";"33,8 %";"37,8 %";"7,4 %";"9,6 %";"6,1 %";"1,9 %";"3,4 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"18.10.2000";"Â";"34,0 %";"38,0 %";"6,9 %";"9,5 %";"6,0 %";"2,0 %";"3,6 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"27.09.2000";"Â";"33,1 %";"39,0 %";"7,4 %";"9,8 %";"6,2 %";"1,6 %";"2,9 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"16.08.2000";"Â";"32,4 %";"39,0 %";"6,9 %";"10,1 %";"6,3 %";"2,8 %";"2,5 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"19.07.2000";"Â";"32,3 %";"37,1 %";"7,1 %";"11,5 %";"6,8 %";"2,2 %";"3,0 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"14.06.2000";"Â";"33,0 %";"35,9 %";"7,9 %";"11,1 %";"6,5 %";"3,8 %";"1,8 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"19.04.2000";"Â";"32,0 %";"38,6 %";"8,4 %";"8,4 %";"7,1 %";"3,4 %";"2,1 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"22.03.2000";"Â";"31,3 %";"39,8 %";"8,5 %";"7,9 %";"7,1 %";"3,1 %";"2,3 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"23.02.2000";"Â";"31,3 %";"40,3 %";"8,0 %";"7,7 %";"6,7 %";"2,5 %";"3,5 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"19.01.2000";"Â";"37,8 %";"36,9 %";"7,5 %";"6,3 %";"6,5 %";"1,7 %";"3,3 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"15.12.1999";"Â";"41,6 %";"32,3 %";"7,5 %";"6,4 %";"7,1 %";"3,4 %";"1,7 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"17.11.1999";"Â";"44,7 %";"30,4 %";"6,9 %";"6,9 %";"6,8 %";"1,6 %";"2,7 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"13.10.1999";"Â";"44,5 %";"30,8 %";"6,8 %";"5,9 %";"7,2 %";"2,3 %";"2,5 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"15.09.1999";"Â";"42,0 %";"32,9 %";"7,2 %";"6,6 %";"7,0 %";"2,6 %";"1,7 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"18.08.1999";"Â";"42,2 %";"32,6 %";"7,4 %";"6,6 %";"6,0 %";"3,1 %";"2,1 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"21.07.1999";"Â";"43,3 %";"32,6 %";"6,7 %";"7,0 %";"5,9 %";"2,5 %";"2,0 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"16.06.1999";"Â";"39,7 %";"35,6 %";"6,6 %";"7,7 %";"5,8 %";"1,9 %";"2,7 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"19.05.1999";"Â";"36,8 %";"37,3 %";"7,8 %";"7,0 %";"5,9 %";"3,4 %";"1,8 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"14.04.1999";"Â";"37,9 %";"37,6 %";"6,5 %";"7,5 %";"5,5 %";"2,3 %";"2,7 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"17.03.1999";"Â";"38,7 %";"37,0 %";"6,8 %";"7,4 %";"5,7 %";"1,7 %";"2,7 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"16.12.1998";"Â";"36,3 %";"39,4 %";"7,2 %";"6,0 %";"â€“";"â€“";"â€“";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"27.09.1998";"Â";"35,1 %";"40,9 %";"6,7 %";"6,2 %";"5,1 %";"1,8 %";"4,0 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"26.09.1998";"Â";"36,0 %";"40,5 %";"6,0 %";"6,5 %";"5,0 %";"â€“";"6,0 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"23.09.1998";"Â";"36,1 %";"41,1 %";"7,0 %";"6,5 %";"4,7 %";"â€“";"4,6 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"16.09.1998";"Â";"35,5 %";"41,4 %";"7,0 %";"6,6 %";"5,0 %";"â€“";"4,5 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"09.09.1998";"Â";"35,6 %";"40,8 %";"7,5 %";"7,2 %";"4,5 %";"2,1 %";"2,3 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"02.09.1998";"Â";"35,5 %";"41,1 %";"7,0 %";"6,1 %";"4,9 %";"2,4 %";"3,0 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"26.08.1998";"Â";"35,2 %";"42,7 %";"6,3 %";"6,0 %";"5,3 %";"1,2 %";"3,3 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"19.08.1998";"Â";"34,5 %";"42,9 %";"7,0 %";"5,8 %";"5,2 %";"2,0 %";"2,6 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"12.08.1998";"Â";"33,0 %";"43,8 %";"7,0 %";"6,6 %";"5,2 %";"1,6 %";"2,8 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"17.06.1998";"Â";"31,1 %";"44,4 %";"7,6 %";"6,9 %";"5,7 %";"2,3 %";"2,0 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"20.05.1998";"Â";"31,0 %";"45,5 %";"7,5 %";"5,7 %";"5,9 %";"1,5 %";"2,9 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"29.04.1998";"Â";"31,3 %";"45,2 %";"8,5 %";"5,8 %";"5,2 %";"2,8 %";"1,2 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"25.03.1998";"Â";"32,1 %";"42,7 %";"10,2 %";"5,8 %";"5,4 %";"2,0 %";"1,8 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
