"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"19.12.2002";"Â";"48 %";"29 %";"11 %";"5 %";"4 %";"3 %";"Â";"3.899";"10.12.â€“16.12.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"12.12.2002";"Â";"49 %";"28 %";"10 %";"5 %";"5 %";"3 %";"Â";"4.865";"03.12.â€“09.12.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"05.12.2002";"Â";"49 %";"28 %";"10 %";"5 %";"5 %";"3 %";"Â";"1.958";"26.11.â€“02.12.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"28.11.2002";"Â";"50 %";"28 %";"10 %";"5 %";"4 %";"3 %";"Â";"3.247";"19.11.â€“25.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"21.11.2002";"Â";"48 %";"29 %";"10 %";"6 %";"4 %";"3 %";"Â";"2.650";"12.11.â€“18.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"14.11.2002";"Â";"46 %";"32 %";"9 %";"5 %";"5 %";"3 %";"Â";"4.158";"05.11.â€“12.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"07.11.2002";"Â";"44 %";"34 %";"10 %";"5 %";"4 %";"3 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"31.10.2002";"Â";"42 %";"35 %";"10 %";"5 %";"4 %";"4 %";"Â";"2.515";"23.10.â€“28.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"24.10.2002";"Â";"41 %";"37 %";"10 %";"6 %";"3 %";"3 %";"Â";"1.409";"17.10.â€“22.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"17.10.2002";"Â";"40 %";"37 %";"10 %";"6 %";"4 %";"3 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"10.10.2002";"Â";"40 %";"38 %";"8 %";"7 %";"4 %";"3 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"03.10.2002";"Â";"40 %";"38 %";"9 %";"7 %";"4 %";"2 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"26.09.2002";"Â";"39 %";"38 %";"9 %";"7 %";"4 %";"3 %";"Â";"770";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"22.09.2002";"Â";"38,5 %";"38,5 %";"8,6 %";"7,4 %";"4,0 %";"3,0 %";"Â";"Bundestagswahl";"Bundestagswahl";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"14.09.2002**";"Â";"37 %";"39 %";"7 %";"8 %";"5 %";"4 %";"Â";"3.518";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"12.09.2002";"Â";"38 %";"38 %";"7 %";"8 %";"4 %";"5 %";"Â";"1.313";"10.09.â€“11.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"10.09.2002";"Â";"38 %";"38 %";"7 %";"8 %";"4 %";"5 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"05.09.2002";"Â";"39 %";"37 %";"6 %";"8 %";"5 %";"5 %";"Â";"1.974";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"29.08.2002";"Â";"40 %";"37 %";"6 %";"9 %";"4 %";"4 %";"Â";"1.301";"21.08.â€“26.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"27.08.2002*";"Â";"40 %";"37 %";"6 %";"9 %";"4 %";"4 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"23.08.2002";"Â";"39 %";"36 %";"7 %";"9 %";"5 %";"4 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"22.08.2002";"Â";"40 %";"34 %";"6 %";"9 %";"6 %";"5 %";"Â";"1.568";"14.08.â€“20.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"21.08.2002*";"Â";"41 %";"34 %";"6 %";"9 %";"5 %";"5 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"15.08.2002";"Â";"40 %";"34 %";"7 %";"10 %";"5 %";"4 %";"Â";"2.163";"07.08.â€“13.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"12.08.2002";"Â";"41 %";"34 %";"6 %";"9 %";"5 %";"5 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"08.08.2002";"Â";"41 %";"34 %";"7 %";"9 %";"4 %";"5 %";"Â";"Â";"30.07.â€“06.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"06.08.2002*";"Â";"41 %";"34 %";"7 %";"9 %";"4 %";"5 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"02.08.2002";"Â";"40 %";"34 %";"7 %";"8 %";"6 %";"5 %";"Â";"2.284";"23.07.â€“30.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"30.07.2002*";"Â";"40 %";"34 %";"7 %";"8 %";"6 %";"5 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"25.07.2002";"Â";"39 %";"34 %";"7 %";"9 %";"6 %";"5 %";"Â";"667";"10.07.â€“20.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"18.07.2002";"Â";"41 %";"35 %";"6 %";"9 %";"5 %";"4 %";"Â";"664";"09.07.â€“15.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"11.07.2002";"Â";"40 %";"35 %";"6 %";"9 %";"5 %";"5 %";"Â";"635";"02.07.â€“08.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"04.07.2002";"Â";"39 %";"35 %";"6 %";"9 %";"6 %";"5 %";"Â";"1.302";"25.06.â€“01.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"01.07.2002*";"Â";"39 %";"35 %";"6 %";"10 %";"5 %";"5 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"27.06.2002";"Â";"40 %";"35 %";"6 %";"9 %";"5 %";"5 %";"Â";"2.953";"18.06.â€“24.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"25.06.2002*";"Â";"40 %";"34 %";"6 %";"9 %";"6 %";"5 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"20.06.2002";"Â";"38 %";"34 %";"7 %";"10 %";"6 %";"5 %";"Â";"2.449";"11.06.â€“18.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"13.06.2002";"Â";"39 %";"35 %";"6 %";"11 %";"5 %";"4 %";"Â";"703";"bis 11.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"11.06.2002*";"Â";"39 %";"35 %";"6 %";"11 %";"6 %";"3 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"10.06.2002**";"Â";"38 %";"34 %";"7 %";"11 %";"6 %";"4 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"06.06.2002";"Â";"38 %";"33 %";"7 %";"10 %";"6 %";"6 %";"Â";"1.523";"bis 04.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"30.05.2002";"Â";"39 %";"33 %";"6 %";"11 %";"6 %";"5 %";"Â";"1.605";"bis 27.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"23.05.2002";"Â";"39 %";"32 %";"8 %";"10 %";"5 %";"6 %";"Â";"2.581";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"16.05.2002";"Â";"38 %";"33 %";"7 %";"12 %";"5 %";"5 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"09.05.2002";"Â";"39 %";"32 %";"6 %";"11 %";"6 %";"6 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"04.05.2002";"Â";"40 %";"34 %";"6 %";"10 %";"6 %";"4 %";"Â";"Â";"bis 29.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"27.04.2002";"Â";"40 %";"35 %";"5 %";"9 %";"6 %";"5 %";"Â";"Â";"bis 22.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"20.04.2002";"Â";"39 %";"36 %";"6 %";"9 %";"6 %";"4 %";"Â";"Â";"bis 15.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"13.04.2002";"Â";"39 %";"37 %";"6 %";"8 %";"6 %";"4 %";"Â";"Â";"bis 08.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"06.04.2002";"Â";"39 %";"36 %";"7 %";"9 %";"7 %";"2 %";"Â";"Â";"bis 01.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"28.03.2002";"Â";"40 %";"36 %";"6 %";"9 %";"6 %";"3 %";"Â";"Â";"bis 25.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"23.03.2002";"Â";"40 %";"35 %";"7 %";"9 %";"6 %";"3 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"16.03.2002";"Â";"40 %";"36 %";"6 %";"8 %";"6 %";"4 %";"Â";"Â";"bis 11.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"08.03.2002";"Â";"39 %";"38 %";"6 %";"9 %";"6 %";"2 %";"Â";"Â";"bis 04.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"02.03.2002";"Â";"41 %";"37 %";"5 %";"7 %";"6 %";"4 %";"Â";"Â";"bis 25.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"23.02.2002";"Â";"41 %";"37 %";"5 %";"9 %";"6 %";"2 %";"Â";"Â";"bis 18.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"16.02.2002";"Â";"41 %";"37 %";"5 %";"8 %";"6 %";"3 %";"Â";"Â";"bis 11.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"09.02.2002";"Â";"41 %";"38 %";"5 %";"8 %";"6 %";"2 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"02.02.2002";"Â";"41 %";"37 %";"6 %";"8 %";"6 %";"2 %";"Â";"Â";"bis 28.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"26.01.2002";"Â";"41 %";"38 %";"5 %";"7 %";"6 %";"3 %";"Â";"Â";"bis 21.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"18.01.2002";"Â";"40 %";"37 %";"6 %";"7 %";"7 %";"3 %";"Â";"Â";"bis 14.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"12.01.2002";"Â";"39 %";"38 %";"6 %";"7 %";"7 %";"3 %";"Â";"Â";"bis 07.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"05.01.2002";"Â";"37 %";"38 %";"6 %";"7 %";"7 %";"5 %";"Â";"Â";"bis 02.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
